CustomerID,Gender,Age,Annual_Income_k,Spending_Score
1001,Female,42,85,15
1002,Male,41,47,56
1003,Male,60,36,30
1004,Female,67,99,16
1005,Male,37,119,86
1006,Female,39,106,98
1007,Female,66,85,10
1008,Female,30,108,92
1009,Male,36,76,56
1010,Male,46,44,55
1011,Female,36,32,5
1012,Female,68,61,57
1013,Female,45,127,39
1014,Female,68,77,43
1015,Male,25,43,46
1016,Male,49,24,14
1017,Male,63,48,40
1018,Male,45,46,57
1019,Male,46,22,5
1020,Male,20,102,92
1021,Male,25,68,54
1022,Male,20,65,40
1023,Female,64,22,38
1024,Male,49,102,23
1025,Female,63,121,25
1026,Female,69,51,53
1027,Male,65,96,16
1028,Female,24,47,58
1029,Female,36,50,57
1030,Female,18,61,44
1031,Female,28,120,71
1032,Male,40,133,21
1033,Female,22,51,45
1034,Female,47,23,38
1035,Male,61,113,31
1036,Female,41,95,19
1037,Female,63,101,41
1038,Male,67,129,26
1039,Female,26,54,41
1040,Male,42,117,18
1041,Female,39,121,83
1042,Female,43,72,52
1043,Female,40,51,50
1044,Female,35,99,79
1045,Female,58,52,41
1046,Male,54,39,16
1047,Male,59,100,30
1048,Male,48,20,31
1049,Female,51,26,11
1050,Female,62,31,30
1051,Male,45,76,53
1052,Female,19,138,91
1053,Male,18,65,43
1054,Male,43,43,50
1055,Female,28,50,56
1056,Male,56,118,44
1057,Female,51,69,54
1058,Female,39,83,93
1059,Male,53,125,29
1060,Male,52,130,26
1061,Female,62,121,43
1062,Male,43,80,48
1063,Male,57,31,5
1064,Male,60,118,34
1065,Male,52,17,34
1066,Female,51,26,23
1067,Male,61,73,56
1068,Male,34,88,94
1069,Male,66,61,51
1070,Female,33,102,88
1071,Female,48,35,21
1072,Male,54,132,25
1073,Female,25,39,77
1074,Male,29,29,85
1075,Male,62,40,54
1076,Female,27,30,66
1077,Male,40,40,46
1078,Female,32,131,76
1079,Male,68,62,47
1080,Female,40,107,27
1081,Male,47,130,44
1082,Female,59,117,26
1083,Female,48,38,39
1084,Female,62,112,12
1085,Male,60,54,51
1086,Male,32,134,86
1087,Female,46,100,34
1088,Male,35,47,55
1089,Male,59,122,11
1090,Male,52,56,41
1091,Female,30,27,77
1092,Female,49,113,38
1093,Female,66,107,25
1094,Female,61,125,19
1095,Female,42,117,29
1096,Male,18,108,86
1097,Male,62,28,34
1098,Female,21,32,96
1099,Male,65,79,53
1100,Male,26,29,83
