Date,Region,Representative,Product,Units,UnitPrice,Revenue
2026-03-02,North,Diana,Monitor,8,300,2400
2026-03-28,South,Ethan,Tablet,3,450,1350
2026-01-24,South,Charlie,Mouse,4,30,120
2026-03-29,East,Charlie,Mouse,2,30,60
2026-02-02,East,Diana,Tablet,5,450,2250
2026-02-18,East,Diana,Mouse,9,30,270
2026-02-24,South,Charlie,Tablet,3,450,1350
2026-02-20,West,Diana,Laptop,3,1200,3600
2026-03-30,North,Ethan,Tablet,4,450,1800
2026-03-31,East,Diana,Tablet,9,450,4050
2026-02-13,East,Ethan,Keyboard,7,80,560
2026-02-05,West,Ethan,Monitor,1,300,300
2026-01-06,West,Bob,Keyboard,2,80,160
2026-03-31,West,Bob,Mouse,2,30,60
2026-01-14,East,Diana,Tablet,4,450,1800
2026-02-22,North,Diana,Mouse,2,30,60
2026-01-29,North,Bob,Keyboard,9,80,720
2026-01-09,North,Ethan,Laptop,7,1200,8400
2026-03-22,West,Alice,Monitor,3,300,900
2026-02-10,South,Charlie,Laptop,5,1200,6000
2026-01-12,South,Diana,Laptop,8,1200,9600
2026-02-13,North,Bob,Mouse,3,30,90
2026-02-16,South,Charlie,Laptop,3,1200,3600
2026-01-14,North,Charlie,Mouse,7,30,210
2026-03-04,North,Charlie,Tablet,3,450,1350
2026-04-04,West,Alice,Mouse,4,30,120
2026-01-13,South,Ethan,Mouse,4,30,120
2026-02-11,South,Charlie,Keyboard,2,80,160
2026-01-06,East,Ethan,Laptop,5,1200,6000
2026-01-30,West,Diana,Keyboard,4,80,320
2026-04-02,West,Charlie,Tablet,7,450,3150
2026-01-27,South,Alice,Laptop,1,1200,1200
2026-01-03,West,Alice,Mouse,9,30,270
2026-02-20,North,Charlie,Mouse,1,30,30
2026-02-01,West,Bob,Monitor,6,300,1800
2026-02-27,West,Alice,Laptop,1,1200,1200
2026-02-25,West,Diana,Tablet,3,450,1350
2026-01-02,South,Alice,Laptop,2,1200,2400
2026-01-01,East,Diana,Mouse,1,30,30
2026-02-13,East,Charlie,Tablet,5,450,2250
2026-03-16,West,Bob,Keyboard,7,80,560
2026-04-08,North,Charlie,Mouse,4,30,120
2026-02-28,South,Charlie,Laptop,9,1200,10800
2026-01-19,South,Ethan,Keyboard,4,80,320
2026-04-06,South,Bob,Monitor,4,300,1200
2026-02-08,North,Diana,Laptop,8,1200,9600
2026-03-30,West,Bob,Laptop,9,1200,10800
2026-01-07,South,Bob,Tablet,3,450,1350
2026-03-01,West,Diana,Tablet,9,450,4050
2026-02-06,East,Alice,Laptop,5,1200,6000
2026-04-09,South,Charlie,Laptop,9,1200,10800
2026-01-24,West,Charlie,Monitor,4,300,1200
2026-03-13,West,Alice,Keyboard,1,80,80
2026-03-30,East,Diana,Keyboard,3,80,240
2026-03-23,North,Charlie,Mouse,2,30,60
2026-04-10,East,Bob,Monitor,9,300,2700
2026-02-17,West,Alice,Laptop,5,1200,6000
2026-02-02,West,Diana,Monitor,1,300,300
2026-01-22,South,Diana,Monitor,6,300,1800
2026-01-21,South,Ethan,Monitor,2,300,600
2026-03-02,West,Alice,Laptop,5,1200,6000
2026-01-17,West,Charlie,Monitor,1,300,300
2026-01-06,West,Diana,Mouse,5,30,150
2026-01-24,West,Charlie,Laptop,5,1200,6000
2026-03-01,North,Ethan,Mouse,3,30,90
2026-02-01,West,Alice,Mouse,5,30,150
2026-01-25,West,Alice,Monitor,2,300,600
2026-02-15,South,Bob,Tablet,3,450,1350
2026-03-31,West,Bob,Tablet,2,450,900
2026-02-12,West,Alice,Laptop,9,1200,10800
2026-02-19,East,Ethan,Tablet,3,450,1350
2026-02-26,West,Alice,Mouse,7,30,210
2026-01-08,North,Diana,Keyboard,1,80,80
2026-03-07,South,Diana,Keyboard,2,80,160
2026-02-27,North,Charlie,Tablet,6,450,2700
2026-02-11,East,Bob,Laptop,4,1200,4800
2026-01-08,West,Charlie,Mouse,1,30,30
2026-03-09,West,Ethan,Keyboard,5,80,400
2026-02-24,West,Ethan,Keyboard,3,80,240
2026-01-30,West,Diana,Mouse,2,30,60
2026-03-31,North,Charlie,Monitor,7,300,2100
2026-01-09,East,Ethan,Mouse,7,30,210
2026-02-03,North,Diana,Laptop,1,1200,1200
2026-01-01,West,Alice,Mouse,5,30,150
2026-04-03,South,Ethan,Mouse,6,30,180
2026-03-27,West,Charlie,Tablet,3,450,1350
2026-02-16,North,Alice,Keyboard,5,80,400
2026-03-17,East,Alice,Keyboard,5,80,400
2026-04-10,East,Bob,Mouse,7,30,210
2026-01-10,East,Alice,Mouse,7,30,210
2026-04-05,West,Ethan,Tablet,4,450,1800
2026-03-10,East,Bob,Monitor,1,300,300
